artist	date	venue	notes
Umphrey's McGee	7/18/2015	River Stage at Great Plaza Philadelphia, Pennsylvania	With Matt O Bryan, Steph O Bryan and Christian Rovou
Vacationer	7/12/2013	Camp Bisco 12	Tripping at the Day set with Steph and Lauren
Vacationer	10/4/2014	Webster Hall	Downtown Music Festival
Vampire Weekend	6/8/2014	Governor's Ball	
VHS or Beta	7/14/2013	Camp Bisco 12	
Vialka	6/12/2010	B-Sides Fest, Luzern	
Wannabe Jalva	10/20/2014	Brooklyn Bowl	School Night
Weird Al Yankovic	7/14/2008	Turning Stone Casino	
White Denim	9/12/2014	Music Hall of Williamsburg 	With Jestine
Wilco	12/6/2008	Auditorium Theatre, Rochester	
Wild Nothing	7/16/2011	Pitchfork Fest 2011, Chicago	
Wolfgang Gartner	7/12/2013	Camp Bisco 12	
Woodkid	8/5/2012	Osheaga, Montreal, Quebec	
Xiu Xiu	6/11/2010	B-Sides Fest, Luzern	B-Sides Festival 2010
Xxyyxx	2/21/2013	285 Kent Ave	
YACHT	6/19/2011	Music Hall of Williamsburg	Northside Festival 2011
YACHT	7/11/2014	Saugerties, NY	Hudson Music Project
YACHT 	12/3/2011	Santos Party House	
Yeasayer	9/12/2008	Hamilton College	First time
Yeasayer	6/13/2009	Bonnaroo 2009	Second time
Yeasayer	7/9/2011	Camp Bisco 10	
Yeasayer	7/21/2012	Firefly Music Festival	
Yeasayer	8/4/2012	Osheaga, Montreal, Quebec	
Yeasayer	6/9/2013	Governor's Ball, Randall's Island NYC	
Young the Giant	8/4/2012	Osheaga, Montreal, Quebec	
Yuck	10/16/2013	Glasslands	
Zed's Dead	7/14/2013	Camp Bisco 12	
Zeus	8/5/2012	Osheaga, Montreal, Quebec	
